Make,Model,Year,Fuel_Type,Transmission,Color,Price,Mileage
Ford,Focus,2014.0,Hybrid,Manual,Red,33725.35614758424,119879.0
,320i,2010.0,Diesel,Manual,White,28963.017741216114,110268.0
Toyota,Camry,2011.0,Hybrid,,Grey,21016.45180084533,168266.0
Toyota,Camry,2014.0,Hybrid,Manual,Black,46062.43824162459,87498.0
,,2002.0,Diesel,Manual,Red,32092.809691501032,16023.0
,Corolla,2021.0,Diesel,Automatic,Grey,37578.86463604895,41090.0
Nissan,Rogue,2007.0,Diesel,Manual,White,26478.94210548786,
Nissan,Altima,2023.0,Electric,Automatic,Black,34069.20032689474,103355.0
Honda,Civic,2022.0,Hybrid,Automatic,White,,159765.0
,Camry,2011.0,,Manual,,23069.378716896714,130608.0
Toyota,Camry,2009.0,,Automatic,Blue,11706.706387079827,149503.0
Ford,Fusion,2005.0,Gasoline,Manual,Red,34525.809187785984,130523.0
Nissan,Altima,2008.0,Electric,Manual,Silver,,67435.0
,Corolla,2006.0,Diesel,Manual,Black,24240.176235426923,56886.0
Toyota,Camry,2001.0,Hybrid,CVT,Red,29816.586168794507,69092.0
BMW,,2019.0,Electric,,Blue,,3890.0
Nissan,Rogue,2024.0,Electric,Automatic,Black,26061.57861652493,87313.0
Ford,Focus,2016.0,Electric,CVT,Blue,44345.78453519405,141699.0
Ford,Focus,2022.0,Electric,Automatic,White,30713.443382378522,174073.0
BMW,320i,2012.0,Hybrid,Automatic,Black,,154969.0
Honda,Accord,2006.0,Hybrid,Manual,White,32182.755009466367,120174.0
Ford,,2019.0,Diesel,,Grey,25233.301947940206,154555.0
Tesla,Model X,2000.0,Gasoline,Automatic,Red,29898.770814465497,110510.0
BMW,320i,2020.0,Gasoline,Manual,Silver,22067.16803283075,106530.0
Nissan,Rogue,2016.0,Electric,CVT,Blue,28279.121596260327,19457.0
Ford,Fusion,2023.0,Gasoline,Manual,Silver,32920.11684942093,197629.0
Tesla,Model S,2004.0,Electric,Manual,White,50837.3478116433,171829.0
Tesla,Model 3,2000.0,Hybrid,CVT,Silver,38952.29793211738,9692.0
Chevrolet,Malibu,2021.0,Gasoline,Automatic,Red,35538.499349965576,40397.0
Tesla,Model X,2018.0,Hybrid,Manual,Blue,31285.262108924777,91387.0
Toyota,Corolla,2017.0,,CVT,Silver,29132.637882088195,23247.0
Toyota,Corolla,2014.0,Hybrid,Manual,Grey,27741.722283080333,24300.0
Tesla,,2024.0,Hybrid,,Silver,35802.75312625262,12185.0
Chevrolet,Malibu,,Gasoline,Automatic,Silver,25963.937537527803,194776.0
Ford,Escape,2020.0,Electric,Automatic,Red,32577.13717176346,38044.0
Honda,Civic,2021.0,Electric,CVT,White,16777.198834779498,
,Camry,2024.0,Electric,,,15932.424208451122,133767.0
Honda,Civic,2018.0,Hybrid,CVT,Grey,,124375.0
Chevrolet,Malibu,,,Automatic,,36979.38300578327,12666.0
Honda,,2008.0,Hybrid,CVT,Silver,35083.255572550064,38660.0
Nissan,Rogue,2016.0,Hybrid,,,31586.902592445123,183323.0
BMW,X3,2010.0,Electric,Automatic,,,22662.0
Nissan,Sentra,2012.0,Electric,,White,,52256.0
Toyota,RAV4,,Electric,CVT,Grey,38735.764841283926,89135.0
Nissan,Rogue,2019.0,Diesel,CVT,Black,41017.05964074294,
Honda,Civic,2021.0,Gasoline,Manual,White,21570.762490949724,194407.0
Honda,Accord,2005.0,Gasoline,Manual,Silver,33434.138077500116,113252.0
Toyota,RAV4,2021.0,Diesel,Manual,White,17367.84466225589,
Ford,Escape,2002.0,Diesel,Manual,Red,37297.22650316841,
BMW,X3,,Gasoline,CVT,Blue,35966.96597921956,137982.0
BMW,320i,2022.0,Gasoline,CVT,Black,25388.43180437017,23419.0
BMW,320i,2009.0,Electric,Automatic,Grey,32496.693303666972,181708.0
Tesla,Model S,,,Automatic,Blue,31128.668085829457,122096.0
Tesla,Model S,2017.0,Electric,CVT,,29149.340614902045,107059.0
Toyota,Camry,2003.0,Hybrid,Automatic,Silver,,105878.0
BMW,X5,2004.0,Diesel,,Grey,34355.17156297519,187116.0
